GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Zhejiang-Coal_IGCC_RC-12041,0.4,12.75715
Zhejiang-Coal_IGCC_RC-12041,1.0,8.89
Zhejiang-Coal_IGCC_RC-12051,0.4,12.75715
Zhejiang-Coal_IGCC_RC-12051,1.0,8.89
Zhejiang-Coal_IGCC_RC-12077,0.4,12.75715
Zhejiang-Coal_IGCC_RC-12077,1.0,8.89
Zhejiang-Coal_IGCC_RC-12095,0.4,12.75715
Zhejiang-Coal_IGCC_RC-12095,1.0,8.89
Zhejiang-Gas_CCGT_OT-12069,0.45,8.88978
Zhejiang-Gas_CCGT_OT-12069,1.0,6.47
Zhejiang-Gas_CCGT_RC-12043,0.45,9.64548
Zhejiang-Gas_CCGT_RC-12043,1.0,7.02
Zhejiang-Gas_CCGT_RC-12053,0.45,9.64548
Zhejiang-Gas_CCGT_RC-12053,1.0,7.02
Zhejiang-Gas_CCGT_RC-12079,0.45,9.64548
Zhejiang-Gas_CCGT_RC-12079,1.0,7.02
Zhejiang-Gas_CCGT_RC-12097,0.45,9.64548
Zhejiang-Gas_CCGT_RC-12097,1.0,7.02
Zhejiang-Gas_CCGT_SEA-12061,0.45,8.88978
Zhejiang-Gas_CCGT_SEA-12061,1.0,6.47
Zhejiang-Gas_CCGT_SEA-12087,0.45,8.88978
Zhejiang-Gas_CCGT_SEA-12087,1.0,6.47
Zhejiang-Gas_CCGT_SEA-12105,0.45,8.88978
Zhejiang-Gas_CCGT_SEA-12105,1.0,6.47
Zhejiang-Gas_Combustion_Turbine_RC-13175,0.4,11.03368
Zhejiang-Gas_Combustion_Turbine_RC-13175,1.0,9.76
