GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Fujian-Coal_100_RC-ep-1306,1990,805257,15486,.
Fujian-Coal_100_RC-ep-1307,2005,805257,15486,.
Fujian-Coal_Small_RC-ep-1248,1990,774286,15486,.
Fujian-Coal_Small_RC-ep-1289,1990,774286,15486,.
Fujian-Coal_Small_SEA-ep-1309,1990,805257,15486,.
Fujian-EP_Coal_1000_SEA-ep-1246,2015,582329,10686,.
Fujian-EP_Coal_1000_SEA-ep-1247,2015,582329,10686,.
Fujian-EP_Coal_1000_SEA-ep-3101,2017,582329,10686,.
Fujian-EP_Coal_1000_SEA-ep-3102,2017,582329,10686,.
Fujian-EP_Coal_300_OT-ep-1285,1999,628457,12086,.
Fujian-EP_Coal_300_OT-ep-1286,1999,628457,12086,.
Fujian-EP_Coal_300_OT-ep-1287,1988,628457,12086,.
Fujian-EP_Coal_300_OT-ep-1288,1988,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1290,2011,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1291,2011,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1298,2012,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1299,2011,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1300,2010,628457,12086,.
Fujian-EP_Coal_300_RC-ep-1301,2009,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1272,2001,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1273,2000,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1292,2006,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1293,2005,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1294,2007,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1295,2006,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1296,1996,628457,12086,.
Fujian-EP_Coal_300_SEA-ep-1297,1995,628457,12086,.
Fujian-EP_Coal_600_OT-ep-1253,2010,512262,9400,.
Fujian-EP_Coal_600_OT-ep-1254,2010,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1249,2012,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1250,2011,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1251,2009,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1252,2009,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1255,2006,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1256,2006,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1257,2008,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1258,2008,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1259,2006,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1260,2006,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1261,2011,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1262,2011,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1263,2007,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1264,2007,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1265,2008,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1266,2004,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1267,2003,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1268,2002,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1269,2001,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1270,2000,512262,9400,.
Fujian-EP_Coal_600_SEA-ep-1271,1999,512262,9400,.
Fujian-EP_Gas_CCGT_RC-ep-1284,2008,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1274,2010,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1275,2009,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1276,2010,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1277,2010,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1278,2009,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1279,2008,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1280,2010,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1281,2010,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1282,2008,665600,12800,.
Fujian-EP_Gas_CCGT_SEA-ep-1283,2008,665600,12800,.
Fujian-Hydro_NonPumped-ep-30005,1981,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30036,1982,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30067,1983,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30098,1984,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30129,1985,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30160,1986,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30191,1987,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30222,1988,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30253,1989,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30284,1990,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30315,1991,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30346,1992,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30377,1993,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30408,1994,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30439,1995,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30470,1996,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30501,1997,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30532,1998,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30560,1999,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30583,2000,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30607,2001,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30630,2002,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30653,2003,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30676,2004,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30719,2012,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30724,2005,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30748,2006,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30771,2007,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30794,2008,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30814,2009,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30839,2010,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30880,2013,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30895,2014,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30904,2015,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30918,2016,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30950,2017,1342278,3300,.
Fujian-Hydro_NonPumped-ep-30995,2011,1342278,3300,.
Fujian-Hydro_Pumped-ep-35041,2020,1098228,2700,0
Fujian-Nuclear_EP_SEA-ep-3103,2020,2378486,60000,.
Fujian-Nuclear_EP_SEA-ep-3104,2020,2378486,60000,.
Fujian-Nuclear_EP_SEA-ep-60016,2013,2378486,40000,.
Fujian-Nuclear_EP_SEA-ep-60021,2014,2378486,40000,.
Fujian-Nuclear_EP_SEA-ep-60022,2014,2378486,40000,.
Fujian-Wind_EP-ep-40001,2012,1204800,12000,.
Fujian-Wind_EP-ep-40008,2007,1204800,12000,.
Fujian-Wind_EP-ep-40025,2008,1204800,12000,.
Fujian-Wind_EP-ep-40045,2009,1204800,12000,.
Fujian-Wind_EP-ep-40106,2013,1204800,12000,.
Fujian-Wind_EP-ep-40133,2014,1204800,12000,.
Fujian-Wind_EP-ep-40162,2015,1204800,12000,.
Fujian-Wind_EP-ep-40190,2016,1204800,12000,.
Fujian-Wind_EP-ep-40218,2017,1204800,12000,.
Fujian-Wind_EP-ep-40241,2010,1204800,12000,.
Fujian-Wind_EP-ep-40259,2011,1204800,12000,.
Jiangsu-Central_PV_EP-ep-50016,2012,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50037,2013,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50066,2014,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50096,2015,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50127,2016,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50156,2017,1439448,28789,.
Jiangsu-Central_PV_EP-ep-50180,2011,1439448,28789,.
Jiangsu-Coal_100_OT-ep-1000,2005,805257,15486,.
Jiangsu-Coal_100_OT-ep-1001,2005,805257,15486,.
Jiangsu-Coal_100_OT-ep-995,2003,805257,15486,.
Jiangsu-Coal_100_OT-ep-996,2003,805257,15486,.
Jiangsu-Coal_100_OT-ep-999,2002,805257,15486,.
Jiangsu-Coal_100_RC-ep-1002,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1003,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1004,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1005,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1006,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1007,2005,805257,15486,.
Jiangsu-Coal_100_RC-ep-1008,1990,805257,15486,.
Jiangsu-Coal_100_RC-ep-1009,2001,805257,15486,.
Jiangsu-Coal_100_RC-ep-993,2003,805257,15486,.
Jiangsu-Coal_100_RC-ep-994,2003,805257,15486,.
Jiangsu-Coal_100_RC-ep-997,1995,805257,15486,.
Jiangsu-Coal_100_RC-ep-998,1995,805257,15486,.
Jiangsu-Coal_Small_OT-ep-1012,1990,774286,15486,.
Jiangsu-Coal_Small_OT-ep-1013,1990,774286,15486,.
Jiangsu-Coal_Small_OT-ep-905,1990,774286,15486,.
Jiangsu-Coal_Small_OT-ep-974,1990,774286,15486,.
Jiangsu-Coal_Small_RC-ep-839,1990,774286,15486,.
Jiangsu-Coal_Small_RC-ep-840,1990,774286,15486,.
Jiangsu-Coal_Small_RC-ep-860,1990,774286,15486,.
Jiangsu-Coal_Small_RC-ep-890,1990,774286,15486,.
Jiangsu-EP_Coal_1000_OT-ep-3067,2016,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-3068,2016,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-3069,2017,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-3070,2017,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-843,2010,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-844,2009,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-849,2015,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-850,2008,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-851,2007,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-852,2014,582329,10686,.
Jiangsu-EP_Coal_1000_OT-ep-853,2014,582329,10686,.
